Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Health: Physicians (per 1 000 pop.),Under five mortality rate (per 1000 live births),Urban population (% of total population),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
24.9,59.9,9.2,4.3,71.5,83.0,0.5,18.5,18.9,74.6,0.9,15.3,1.0
20.9,63.1,11.0,4.0,72.3,81.9,0.6,17.5,18.1,76.6,1.0,16.0,1.0
0.3,65.4,0.0,1.2,95.8,94.0,6.0,2.0,96.7,64.9,0.8,34.3,3.0
19.5,61.1,12.2,4.4,56.4,62.7,0.3,23.3,70.2,72.1,1.7,19.3,0.0
17.8,62.5,14.3,3.8,64.4,76.7,0.5,16.2,73.6,72.2,2.2,19.8,0.0
5.9,70.3,2.8,2.6,101.3,98.7,2.2,9.1,83.2,52.1,3.3,23.8,2.0
3.2,73.9,3.1,2.3,106.4,104.2,2.6,7.0,84.1,55.7,1.2,22.9,2.0
23.0,55.4,18.0,4.0,34.4,37.1,0.1,40.2,47.7,56.2,2.6,21.6,0.0
19.4,56.1,8.1,1.5,91.2,94.6,2.9,6.3,55.7,61.0,0.7,24.5,1.0
14.6,57.5,7.6,1.5,86.7,89.4,2.7,5.6,56.3,62.4,0.9,27.9,2.0
3.6,78.2,2.5,2.2,50.1,58.9,1.0,14.5,55.4,80.5,2.4,17.9,2.0
55.9,37.3,60.5,4.5,27.9,22.3,0.0,132.9,40.8,34.9,2.3,6.7,0.0
44.6,43.8,62.2,4.1,44.7,43.9,0.1,108.4,42.5,32.4,2.3,11.6,0.0
0.2,82.5,0.0,1.0,111.2,109.6,2.2,2.7,100.0,74.2,1.2,17.2,3.0
